onset	duration	sample	event_type	task_role	letter	trial	memory_cond	value
7.88	645.4	1971	show_cross	bad_trial	+	1	0	nonWM
10.4430039108	0.0	2612	right_click	remembered_incorrect	n/a	1	0	1
10.8431045213	0.0	2712	sound_buzz	bad_trial	n/a	1	0	wrong
19.0638170651	0.0	4767	right_click	remembered_incorrect	n/a	1	0	1
19.0933171101	1257.325	4774	show_cross	fixate	+	2	5	nonWM
24.3405251167	305.7	6086	show_letter	to_remember	T	2	5	T
25.7813273152	305.95	6446	show_letter	to_remember	Y	2	5	Y
27.2231295152	305.95	6807	show_letter	to_remember	K	2	5	K
28.6649317152	305.7	7167	show_letter	to_remember	Z	2	5	Z
30.1057339137	305.95	7527	show_letter	to_remember	F	2	5	F
31.5474361136	305.975	7888	show_letter	to_ignore	Q	2	5	gQ
32.9893383138	305.95	8248	show_letter	to_ignore	G	2	5	gG
34.4310405136	305.7	8609	show_letter	to_ignore	W	2	5	gW
35.8718427121	921.85	8969	show_dash	work_memory	-	2	5	WM
39.7772486713	305.95	9945	show_letter	probe_not_shown	L	2	5	rL
41.1040506958	0.0	10277	left_click	ignored_correct	n/a	2	5	255
41.5041513063	0.0	10377	sound_beep	feedback_correct	n/a	2	5	correct
50.4895650169	0.0	12623	right_click	indicate_ready	n/a	2	5	1
50.5216650659	1257.05	12631	show_cross	fixate	+	3	5	nonWM
55.767873071	305.95	13943	show_letter	to_remember	Q	3	5	Q
57.209675271	305.95	14303	show_letter	to_remember	M	3	5	M
58.6515774712	305.925	14664	show_letter	to_ignore	C	3	5	gC
60.0931796709	305.725	15024	show_letter	to_ignore	X	3	5	gX
61.5339818694	305.975	15384	show_letter	to_ignore	S	3	5	gS
62.9757840694	305.975	15745	show_letter	to_remember	W	3	5	W
64.4175862694	305.95	16105	show_letter	to_remember	R	3	5	R
65.8583884679	305.95	16466	show_letter	to_remember	H	3	5	H
67.3001906679	921.85	16826	show_dash	work_memory	-	3	5	WM
71.205596627	276.7	17802	show_letter	probe_target	Q	3	5	rQ
72.2930982864	0.0	18074	right_click	remembered_correct	n/a	3	5	1
72.6931988969	0.0	18174	sound_beep	feedback_correct	n/a	3	5	correct
80.8088112804	0.0	20203	right_click	indicate_ready	n/a	3	5	1
80.8271113083	1257.075	20208	show_cross	fixate	+	4	5	nonWM
86.0733193134	305.95	21519	show_letter	to_ignore	M	4	5	gM
87.5152215135	305.925	21880	show_letter	to_remember	F	4	5	F
88.9569237134	305.7	22240	show_letter	to_remember	G	4	5	G
90.3977259119	305.95	22600	show_letter	to_remember	K	4	5	K
91.8395281119	305.95	22961	show_letter	to_remember	Z	4	5	Z
93.2812303117	305.975	23321	show_letter	to_ignore	Q	4	5	gQ
94.7220325102	305.95	23682	show_letter	to_ignore	Y	4	5	gY
96.1638347102	305.95	24042	show_letter	to_remember	N	4	5	N
97.6056369102	783.65	24402	show_dash	work_memory	-	4	5	WM
100.9581420258	247.225	25241	show_letter	probe_target	K	4	5	rK
101.9268435039	0.0	25483	right_click	remembered_correct	n/a	4	5	1
102.3269441144	0.0	25583	sound_beep	feedback_correct	n/a	4	5	correct
110.3898564174	0.0	27598	right_click	indicate_ready	n/a	4	5	1
110.4117564508	1257.05	27604	show_cross	fixate	+	5	5	nonWM
115.6579644559	305.95	28915	show_letter	to_remember	F	5	5	F
117.0996666557	305.975	29276	show_letter	to_ignore	C	5	5	gC
118.5404688542	305.95	29636	show_letter	to_remember	J	5	5	J
119.9822710542	305.95	29997	show_letter	to_ignore	Q	5	5	gQ
121.4240732542	305.95	30357	show_letter	to_ignore	T	5	5	gT
122.8658754543	305.7	30717	show_letter	to_remember	S	5	5	S
124.3066776527	305.95	31078	show_letter	to_remember	M	5	5	M
125.7484798528	305.975	31438	show_letter	to_remember	N	5	5	N
127.1901820526	997.35	31799	show_dash	work_memory	-	5	5	WM
